time, m1, m2
267, 0.250, 0.730
268, 0.240, 0.740
269, 0.240, 0.740
270, 0.240, 0.740
271, 0.240, 0.740
272, 0.240, 0.740
273, 0.240, 0.740
274, 0.240, 0.740
275, 0.230, 0.750
276, 0.230, 0.750
277, 0.230, 0.750
278, 0.230, 0.750
279, 0.230, 0.750
280, 0.230, 0.750
281, 0.230, 0.750
282, 0.230, 0.750
283, 0.230, 0.750
284, 0.230, 0.750
285, 0.220, 0.760
286, 0.220, 0.760
287, 0.220, 0.760
288, 0.220, 0.760
289, 0.220, 0.760
290, 0.220, 0.760
291, 0.220, 0.760
292, 0.220, 0.760
293, 0.220, 0.760
294, 0.220, 0.760
295, 0.220, 0.760
296, 0.210, 0.770
297, 0.210, 0.770
298, 0.210, 0.770
299, 0.210, 0.770
300, 0.210, 0.770
301, 0.210, 0.770
302, 0.210, 0.770
303, 0.210, 0.770
304, 0.210, 0.770
305, 0.210, 0.770
306, 0.210, 0.770
307, 0.210, 0.770
308, 0.210, 0.770
309, 0.210, 0.770
310, 0.210, 0.770
311, 0.200, 0.780
312, 0.200, 0.780
313, 0.200, 0.780
314, 0.200, 0.780
315, 0.200, 0.780
316, 0.200, 0.780
317, 0.200, 0.780
318, 0.200, 0.780
319, 0.200, 0.780
320, 0.200, 0.780
321, 0.200, 0.780
322, 0.200, 0.780
323, 0.200, 0.780
324, 0.200, 0.780
325, 0.200, 0.780
326, 0.200, 0.780
327, 0.200, 0.780
328, 0.200, 0.780
329, 0.190, 0.790
330, 0.190, 0.790
331, 0.190, 0.790
332, 0.190, 0.790
333, 0.190, 0.790
334, 0.190, 0.790
335, 0.190, 0.790
336, 0.190, 0.790
337, 0.190, 0.790
338, 0.190, 0.790
339, 0.190, 0.790
340, 0.190, 0.790
341, 0.190, 0.790
342, 0.190, 0.790
343, 0.190, 0.790
344, 0.190, 0.790
345, 0.190, 0.790
346, 0.190, 0.790
347, 0.190, 0.790
348, 0.190, 0.790
349, 0.190, 0.790
350, 0.190, 0.790
351, 0.190, 0.790
352, 0.190, 0.790
353, 0.190, 0.790
354, 0.190, 0.790
355, 0.180, 0.800
356, 0.180, 0.800
357, 0.180, 0.800
358, 0.180, 0.800
359, 0.180, 0.800
360, 0.180, 0.800
361, 0.180, 0.800
362, 0.180, 0.800
363, 0.180, 0.800
364, 0.180, 0.800
365, 0.180, 0.800
366, 0.180, 0.800
367, 0.180, 0.800
368, 0.180, 0.800
369, 0.180, 0.800
370, 0.180, 0.800
371, 0.180, 0.800
372, 0.180, 0.800
373, 0.180, 0.800
374, 0.180, 0.800
375, 0.180, 0.800
376, 0.180, 0.800
377, 0.180, 0.800
378, 0.180, 0.800
379, 0.180, 0.800
380, 0.180, 0.800
381, 0.180, 0.800
382, 0.180, 0.800
383, 0.180, 0.800
384, 0.180, 0.800
385, 0.180, 0.800
386, 0.180, 0.800
387, 0.180, 0.800
388, 0.180, 0.800
389, 0.180, 0.800
390, 0.180, 0.800
391, 0.180, 0.800
392, 0.170, 0.810
393, 0.170, 0.810
394, 0.170, 0.810
395, 0.170, 0.810
396, 0.170, 0.810
397, 0.170, 0.810
398, 0.170, 0.810
399, 0.170, 0.810
400, 0.170, 0.810
401, 0.170, 0.810
402, 0.170, 0.810
403, 0.170, 0.810
404, 0.170, 0.810
405, 0.170, 0.810
406, 0.170, 0.810
407, 0.170, 0.810
408, 0.170, 0.810
409, 0.170, 0.810
410, 0.170, 0.810
411, 0.170, 0.810
412, 0.170, 0.810
413, 0.170, 0.810
414, 0.170, 0.810
415, 0.170, 0.810
416, 0.170, 0.810
417, 0.170, 0.810
418, 0.170, 0.810
419, 0.170, 0.810
420, 0.170, 0.810
421, 0.170, 0.810
422, 0.170, 0.810
423, 0.170, 0.810
424, 0.170, 0.810
425, 0.170, 0.810
426, 0.170, 0.810
427, 0.170, 0.810
428, 0.170, 0.810
429, 0.170, 0.810
430, 0.170, 0.810
431, 0.170, 0.810
432, 0.170, 0.810
433, 0.170, 0.810
434, 0.170, 0.810
435, 0.170, 0.810
436, 0.170, 0.810
437, 0.170, 0.810
438, 0.170, 0.810
439, 0.170, 0.810
440, 0.170, 0.810
441, 0.170, 0.810
442, 0.170, 0.810
443, 0.170, 0.810
444, 0.170, 0.810
445, 0.170, 0.810
446, 0.170, 0.810
447, 0.170, 0.810
448, 0.170, 0.810
449, 0.160, 0.820
450, 0.160, 0.820
451, 0.160, 0.820
452, 0.160, 0.820
453, 0.160, 0.820
454, 0.160, 0.820
455, 0.160, 0.820
456, 0.160, 0.820
457, 0.160, 0.820
458, 0.160, 0.820
459, 0.160, 0.820
460, 0.160, 0.820
461, 0.160, 0.820
462, 0.160, 0.820
463, 0.160, 0.820
464, 0.160, 0.820
465, 0.160, 0.820
466, 0.160, 0.820
467, 0.160, 0.820
468, 0.160, 0.820
